user_id,_type,amount,create_time,fee,token_slot,price_0,price_1
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,66.48,"12/01/2020, 01:39:31",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xd45f3183706f0bdea141303a767b5c3c939e812c,Buy,52.09,"12/01/2020, 01:26:46",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xb12fe6a948ee81e878c943b79c4564808acb38a0,Sell,62.84,"12/01/2020, 01:02:33",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,7.83,"12/01/2020, 00:50:40",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x3334d75e513c9a13eeb2da1e404cbacd13c18c28,Buy,125.49,"11/30/2020, 21:42:15",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,34.11,"11/30/2020, 19:04:56",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Sell,99.99,"11/30/2020, 18:53:50",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Sell,13.65,"11/30/2020, 16:51:27",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xca3ca03df59eaa9c45f20f61003468006063b8e2,Sell,73.75,"11/30/2020, 16:37:50",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,29.99,"11/30/2020, 16:28:23",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,54.99,"11/30/2020, 16:10:37",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,92.3,"11/30/2020, 16:06:20",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,82.98,"11/30/2020, 14:27:23",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,84.66,"11/30/2020, 12:16:56",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Buy,10.61,"11/30/2020, 12:07:57",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
