day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9612226636171851,1,1,1,5.07161608132033,11.41,15729.595458200625,11829.6,988.8846064415728,7570.25
2,0.9620100461772816,1,1,1,4.404815979298603,11.85,15742.480307476393,11226.0,1169.9784614857115,7660.180176
3,0.938291539535974,1,1,1,3.355344659240862,11.8,15354.347018008932,11332.7,1777.1620868758014,7642.669922
4,0.9489081883977919,1,1,1,3.1319934762742574,11.43,15576.080974699044,11167.4,1933.5303142087225,7654.549805
5,0.9463011853326203,1,1,1,3.0530428828986693,11.34,15533.2876978142,11384.4,2016.1525835222185,7622.319824
6,0.9294769243735311,1,1,1,2.8615014716936313,10.56,15257.121832409754,12622.1,2311.9030912168982,7523.259766
7,0.9292693853299119,1,1,1,2.8565871797020463,10.44,15326.241124557007,13025.0,2340.048585097159,7453.169922
8,0.9318003351179678,1,1,1,2.8357647021031456,10.98,15395.974506971554,11924.8,2388.5726957827587,7430.259766
9,0.9331938384077263,1,1,1,2.836409437371265,11.23,15529.806114639767,11368.1,2419.1473955332153,7447.680176
10,0.9442923711905404,1,1,1,2.6876928815727092,11.51,15709.206044556833,11686.5,2598.457183579318,7507.870117
11,0.9448037924855032,1,1,1,2.611410563052597,11.19,15730.856512787086,11374.2,2744.456548665011,7488.060059
12,0.9509045660086487,1,1,1,2.534764107486919,11.27,15910.65600862539,10036.4,2863.5234639324476,7561.689941
13,0.9596059430313351,1,1,1,2.4377912809107563,11.21,15847.298872735122,10792.9,3048.4830951748004,7545.5
14,0.9632874370466874,1,1,1,2.3770656665925816,11.41,15766.264809084822,9283.5,3192.6896621871324,7434.72998
15,0.9627784210237875,1,1,1,2.3721463944186523,11.54,15591.166379351438,9777.4,3233.80440778061,7494.399902
16,0.9644623360440213,1,1,1,2.370092511064786,11.1,15679.912152387553,10594.8,3271.9373124964554,7490.319824
17,0.9732069335776004,1,1,1,2.300494212680893,11.09,15822.078949379245,10544.6,3428.7144552308914,7569.029785
18,0.9703502489330237,1,1,1,2.2940681286444713,11.09,15796.848284318594,10754.4,3519.459910204772,7531.069824
19,0.9598564048944116,1,1,1,2.329691666982524,10.48,15692.54098190315,10727.8,3595.9118460495515,7548.75
20,0.9550780028253341,1,1,1,2.3380682375679975,10.01,15623.37638034666,10326.5,3655.9822667002995,7563.189941
21,0.9522569236014349,1,1,1,2.364645129575063,9.86,15614.937090338053,9647.7,3673.8323791705,7563.089844
22,0.949475676101926,1,1,1,2.369499031668252,9.91,15502.275048861778,10127.0,3786.7868774064423,7629.569824
23,0.9474661817034661,1,1,1,2.397730203576052,10.65,15491.828788424149,9756.4,3843.021229579426,7627.649902
24,0.9429839590207122,1,1,1,2.410133209281767,8.72,15535.655511125271,10156.1,3949.8981236464483,7645.450195
25,0.9415813353143115,1,1,1,2.432959115496716,8.0,15543.234947921697,9485.7,3981.274942964805,7628.279785
26,0.9409623832445777,1,1,1,2.436329354282913,8.14,15481.803292868319,9774.8,4052.7352615177097,7637.430176
