day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9529046628536367,1,1,1,5.081163284299645,11.41,15656.18578696046,11829.6,987.8229166175201,7570.25
2,0.7966214731679039,1,1,1,5.353635797779123,11.85,13088.459183785639,11226.0,1080.7803969614001,7660.180176
3,0.8101798285996085,1,1,1,4.703054701628874,11.8,13322.656687413635,11332.7,1255.578811180162,7642.669922
4,0.7900573372782145,1,1,1,4.307168462911137,11.43,13079.99113292838,11167.4,1483.8557804771415,7654.549805
5,0.7895410460392991,1,1,1,3.892916093003803,11.34,13139.270811255064,11384.4,1752.9730303933625,7622.319824
6,0.8274764342406137,1,1,1,3.1352961127715613,10.56,13873.667473923204,12622.1,2390.938104850088,7523.259766
7,0.8302328550732231,1,1,1,3.1133793758386115,10.44,13991.631409056925,13025.0,2449.536930217754,7453.169922
8,0.833035882109588,1,1,1,3.0933792172684282,10.98,14071.202114653308,11924.8,2499.65773129524,7430.259766
9,0.8248266909041051,1,1,1,3.1364678676631397,11.23,14090.137408335822,11368.1,2532.7870327332334,7447.680176
10,0.8341816245248691,1,1,1,3.0391718436499473,11.51,14254.938145798147,11686.5,2720.5985114415425,7507.870117
11,0.8354709032331752,1,1,1,3.02087166161458,11.19,14352.378645474613,11374.2,2795.7454165027593,7488.060059
12,0.8320268505395424,1,1,1,3.0499956739242933,11.27,14293.213989778413,10036.4,2842.8022719577157,7561.689941
13,0.8343335693571454,1,1,1,3.003699459899496,11.21,14364.98781336779,10792.9,2963.775472901861,7545.5
14,0.8334113407961585,1,1,1,3.0126759346796614,11.41,14275.294274580121,9283.5,3068.0752472147874,7434.72998
15,0.8309217480896852,1,1,1,3.0291648732202834,11.54,14166.656229168424,9777.4,3125.9690871849007,7494.399902
16,0.8313425467660306,1,1,1,3.033501750444963,11.1,14223.493788093074,10594.8,3195.186733966488,7490.319824
17,0.8300351155341806,1,1,1,3.0419212146124686,11.09,14201.124861978422,10544.6,3271.972843860164,7569.029785
18,0.8345397130689355,1,1,1,3.023076131200332,11.09,14386.772405037767,10754.4,3349.4162129446113,7531.069824
19,0.8360246865351731,1,1,1,3.037408413082443,10.48,14582.86517275689,10727.8,3374.683446443249,7548.75
20,0.836404678023064,1,1,1,3.082563433243921,10.01,14633.06866785456,10326.5,3413.874261960083,7563.189941
21,0.8370914320755001,1,1,1,3.1037814805778803,9.86,14773.699536881348,9647.7,3420.8129597325615,7563.089844
22,0.8381187429953127,1,1,1,3.1230369061583225,9.91,14811.727607449397,10127.0,3443.4122708165182,7629.569824
23,0.8406858748652262,1,1,1,3.089958508310685,10.65,14799.495932664626,9756.4,3556.691185058875,7627.649902
24,0.8407214595722405,1,1,1,3.0822328148079485,8.72,14490.84645688494,10156.1,3649.0464185889773,7645.450195
25,0.839574124544204,1,1,1,3.1051649026912025,8.0,14303.898542057772,9485.7,3670.6736336060453,7628.279785
26,0.841752940364061,1,1,1,3.1102515140049163,8.14,14413.438152854738,9774.8,3720.4706478789385,7637.430176
27,0.8418464515644547,1,1,1,3.1192037321039354,8.19,14341.78509597674,9544.6,3792.4927173713745,7490.0
28,0.8458885051116831,1,1,1,3.0915879549551595,8.33,14426.137004376533,9678.3,3884.8672536954746,7399.009766
29,0.8440224344514583,1,1,1,3.1040338487928207,8.51,14208.479671046922,10010.7,3933.620588857632,7352.819824
30,0.8439849682297201,1,1,1,3.081794623775538,7.74,14050.378256767111,10385.5,4011.241657437758,7371.620117
31,0.8449402515894869,1,1,1,3.102781026224112,8.0,14121.56334985243,10775.8,4047.401452100181,7044.5
32,0.8467552566012818,1,1,1,3.1124956010438156,8.14,13963.300114658541,10845.5,4114.020100722371,6964.029785
33,0.8483588766599504,1,1,1,3.094495119817328,8.42,13838.883391199577,11389.1,4222.471693663193,7157.209961
