day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9787696143180251,1,1,1,5.0577912205792686,11.41,15968.69480748485,11829.6,1008.9402764400293,7570.25
2,0.9800559080618992,1,1,1,4.671515380820904,11.85,15989.680780004048,11226.0,1095.735970354285,7660.180176
3,0.9735665255377716,1,1,1,4.63774958370562,11.8,15883.806049627354,11332.7,1113.7744457580213,7642.669922
4,0.9674867112127405,1,1,1,4.610329781274039,11.43,15824.523108959242,11167.4,1127.5206088153043,7654.549805
5,0.9100329424219912,1,1,1,4.161913054958036,11.34,14911.04280750317,11384.4,1344.3291536255558,7622.319824
6,0.8903969711531639,1,1,1,3.9068678970576216,10.56,14713.96672101475,12622.1,1494.1851063954944,7523.259766
7,0.9194798680008653,1,1,1,3.1171016688614204,10.44,15264.56402422447,13025.0,1979.41597440799,7453.169922
8,0.9176250261517922,1,1,1,3.1046292889916214,10.98,15233.771232402343,11924.8,2000.5485315233213,7430.259766
9,0.9200369986601427,1,1,1,3.0577405562546405,11.23,15273.813119190396,11368.1,2072.6428687495727,7447.680176
10,0.9275039877149456,1,1,1,2.938635476991872,11.51,15466.782794890947,11686.5,2192.755853217338,7507.870117
11,0.9234343635242644,1,1,1,2.958565889641098,11.19,15303.48501172256,11374.2,2205.203304428513,7488.060059
12,0.9228739986964577,1,1,1,2.882363692062937,11.27,15012.594467254754,10036.4,2315.0798143156567,7561.689941
13,0.9227917010447697,1,1,1,2.781541939735324,11.21,14859.957494402035,10792.9,2459.645554450081,7545.5
14,0.9324481068354399,1,1,1,2.643055101665877,11.41,15066.912213853202,9283.5,2648.590145395619,7434.72998
15,0.927678284053074,1,1,1,2.63700157173836,11.54,15043.299209157494,9777.4,2716.4165783603667,7494.399902
16,0.9180949784172585,1,1,1,2.650335315443761,11.1,14931.622015899782,10594.8,2818.351831784588,7490.319824
17,0.919001468176616,1,1,1,2.6242059443134718,11.09,14913.77674001239,10544.6,2891.953917777578,7569.029785
18,0.9175790480906808,1,1,1,2.5793443772184026,11.09,14862.160523012377,10754.4,3021.0083700209398,7531.069824
19,0.9163804357664986,1,1,1,2.5488644351668386,10.48,14821.33071306795,10727.8,3137.1453807592147,7548.75
20,0.914374375229201,1,1,1,2.561941146781983,10.01,14682.332126869676,10326.5,3144.5653262570127,7563.189941
21,0.9151600224207211,1,1,1,2.542226950190775,9.86,14694.947455243846,9647.7,3228.3970018974533,7563.089844
