gen,avgloss,maxloss,loss1,loss2,loss3,exp_id
0,11892.100426637136,17103.507522434986
1,11772.015755917442,17103.507522434986
2,12722.590389676338,18019.9728782886
3,13227.20310722611,17332.519282808833
4,13123.966966264581,17527.78072189901
5,13930.583461061242,17223.394693037837
6,14740.904122036442,17436.755832291878
7,14726.912284846956,17688.569377731947
8,16156.152795950304,18480.640060333186
9,16385.177620002225,18294.258576684973
9,16385.177620002225,18480.640060333186,17559.748101275403,920.8919590577813,1,e73a47ae41ce4b36b8be29cdbf4d9f41
