day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9698972284440214,1,1,1,5.060650319099506,11.41,15823.941210557014,23659.2,985.8874073164116,7570.25
2,0.9704439709467835,1,1,1,5.0796965475752005,11.85,15832.86135278167,22452.0,992.7687679427231,7660.180176
3,0.9719506254962059,1,1,1,5.082178384783967,11.8,15984.608227107346,22665.4,994.3100826662162,7642.669922
4,0.9831094306833403,1,1,1,4.643985006001184,11.43,16297.062964246294,22334.8,1099.7773807829935,7654.549805
5,0.9831094306833403,1,1,1,4.672961089464534,11.34,16297.062964246294,22768.8,1117.207294836252,7622.319824
6,1.0291012871158676,1,1,1,3.401454510066098,10.56,17059.472678495997,12622.1,1636.6510929150118,7523.259766
7,1.0291012871158676,1,1,1,3.418536680051317,10.44,17081.374879719984,13025.0,1642.891157344391,7453.169922
8,1.0291012871158676,1,1,1,3.444273991281446,10.98,17132.148388964342,11924.8,1655.747660700411,7430.259766
9,1.023518066714057,1,1,1,3.466973497930263,11.23,17065.78501085373,11368.1,1661.195073976876,7447.680176
10,1.023518066714057,1,1,1,3.5092273459806727,11.51,17146.654796748848,11686.5,1682.7790784128636,7507.870117
11,1.02908360411927,1,1,1,3.407024262776523,11.19,17287.029464828476,11374.2,1759.774283905734,7488.060059
12,1.0302763403856616,1,1,1,3.4120014752974708,11.27,17307.065608537647,10036.4,1789.3855790234338,7561.689941
13,1.0400559854146278,1,1,1,3.2359169203790557,11.21,17513.413945149652,10792.9,1935.318605547448,7545.5
14,1.051580067679443,1,1,1,3.028208563762525,11.41,17717.375432256773,9283.5,2098.688077353243,7434.72998
15,1.039257303602446,1,1,1,2.9888040618308387,11.54,17539.9133030386,9777.4,2196.519665254703,7494.399902
16,1.039257303602446,1,1,1,3.0095092695112258,11.1,17539.9133030386,10594.8,2198.367641143059,7490.319824
17,1.039257303602446,1,1,1,3.0270227956902396,11.09,17606.459747661178,10544.6,2208.3179665907105,7569.029785
18,1.0372485125436626,1,1,1,3.0615122504723855,11.09,17616.540449762233,10754.4,2211.393517168195,7531.069824
19,1.0329223360024236,1,1,1,3.0907209000745035,10.48,17548.545467375345,10727.8,2217.8343613356965,7548.75
20,1.020490121305404,1,1,1,3.1070031855142957,10.01,17337.33182887938,10326.5,2260.650168400954,7563.189941
21,1.0205494751295794,1,1,1,3.139478530974538,9.86,17440.237004038565,9647.7,2283.899298220041,7563.089844
22,1.0224186022554698,1,1,1,3.141735010833357,9.91,17525.8103839415,10127.0,2319.5645934113522,7629.569824
23,0.9900772752233911,1,1,1,3.2234638111509013,10.65,16769.420013679395,9756.4,2378.6898390943334,7627.649902
24,0.997108993210192,1,1,1,3.1269746073179423,8.72,16914.09521002331,10156.1,2494.399867518466,7645.450195
25,0.9854913738425741,1,1,1,3.1478891568170932,8.0,16717.023955590972,9485.7,2551.0521829926843,7628.279785
26,0.9710997302479303,1,1,1,3.1990232539829297,8.14,16503.911384028535,9774.8,2614.531248470649,7637.430176
27,0.967922275075588,1,1,1,3.204696489159568,8.19,16453.49654074905,9544.6,2649.65792079163,7490.0
28,0.9716754501115121,1,1,1,3.1222147901240973,8.33,16517.29593256032,9678.3,2783.8249787554205,7399.009766
29,0.9665319085264517,1,1,1,3.148458369833018,8.51,16429.86200748572,10010.7,2820.2289477700283,7352.819824
30,0.9665703195216083,1,1,1,3.1589424699248143,7.74,16545.957949826727,20771.0,2838.9148474842673,7371.620117
31,0.9689925222205519,1,1,1,3.157557807648499,8.0,16670.4863897373,21551.6,2870.270035440289,7044.5
32,0.96812128391468,1,1,1,3.1690866396518294,8.14,16818.466291860343,21691.0,2951.74900635427,6964.029785
33,0.9710334320736195,1,1,1,3.1314444656084657,8.42,16869.056921838004,22778.2,3016.461534892778,7157.209961
34,0.9720072440786195,1,1,1,3.1210747073219056,8.25,17032.669414794927,23202.8,3082.183322966485,7068.669922
35,0.9700820879534574,1,1,1,3.1263519112899236,8.25,17039.094577771397,23572.4,3092.9505214464803,7276.430176
36,0.9713501757215456,1,1,1,3.098491403884263,8.12,17242.24512630754,11391.0,3132.1350004473625,7278.629883
37,0.9729512711178714,1,1,1,3.110355884300262,8.09,17317.765113175486,11354.6,3145.473073094761,7116.089844
38,0.9762424262958862,1,1,1,3.1265928361214437,7.93,17385.798905544023,10640.9,3176.337193609465,7107.22998
39,0.9767842437497065,1,1,1,3.1384104451968593,7.43,17401.05080020329,10013.8,3206.2856215117345,7141.209961
40,0.9752012346154914,1,1,1,3.157914601866439,7.45,17415.81018057663,10376.0,3231.986095247001,7118.669922
41,0.978746628673821,1,1,1,3.1226965508327442,7.87,17576.112861373214,10416.8,3264.5791586064697,6789.149902
42,0.9776136282430117,1,1,1,3.139633542446091,7.45,17652.768466972448,10512.6,3313.448863003381,7016.390137
43,0.9776136282430117,1,1,1,3.1608654027029477,7.0,17682.66583998997,10586.0,3322.6400836789385,6852.399902
44,0.975780557397166,1,1,1,3.160338108103299,7.23,17521.681025771886,10363.7,3333.0735955845125,6713.899902
45,0.9798248683311056,1,1,1,3.1352067757389324,7.13,17676.43137595588,10487.1,3396.8736729139882,6810.120117
46,0.9821188075862811,1,1,1,3.140325934295278,7.55,17752.717882127916,10361.1,3450.4944700578108,6967.100098
47,0.9824175393237228,1,1,1,3.1556936644860203,7.35,17735.960767805085,10408.1,3463.744458680344,7069.169922
48,0.9824499701891561,1,1,1,3.176079898026578,7.57,17809.87725777077,10080.7,3471.776311966385,6965.290039
49,0.9852293678710398,1,1,1,3.1773210175376176,7.4,17917.702661119652,10109.6,3512.755047079149,6937.089844
50,0.9855657066286034,1,1,1,3.196096550720544,7.72,17957.44459412835,10372.2,3513.953875722988,6988.850098
51,0.9874149887022223,1,1,1,3.187919449779208,7.82,18034.827023533184,10303.3,3544.731078485564,7203.129883
52,0.991891054514769,1,1,1,3.185470037462236,7.69,18201.59138522066,10319.0,3588.4186153156907,7158.589844
53,0.9931558389146413,1,1,1,3.220616544481801,7.3,18272.829455073297,10348.6,3609.217378954475,7039.149902
54,0.9926333386014519,1,1,1,3.2306609995833613,7.11,18311.03099009181,10233.8,3642.4607947441673,6829.100098
55,0.9897790204254141,1,1,1,3.264689706980028,7.18,18261.42661317477,10226.5,3663.4414749634902,6830.910156
56,0.989957802581977,1,1,1,3.280871070883497,7.34,18334.532678947537,10139.6,3669.7596285552586,6769.870117
57,0.9912963461237592,1,1,1,3.290183934810228,7.29,18289.46830767242,10235.3,3698.470710173727,6890.450195
58,0.9929520419620412,1,1,1,3.2699927263852357,7.69,18320.015980605764,10163.7,3795.4389984887057,6867.02002
59,0.9916865263261823,1,1,1,3.3076105883078246,7.48,18216.19738973055,9908.8,3814.8949255027496,6642.919922
60,0.9957306913804626,1,1,1,3.285174905875239,7.54,18296.52304723737,19984.6,3907.085453285344,6526.959961
61,0.9957306913804626,1,1,1,3.2970500425025975,7.44,18339.21165738697,19440.6,3915.677016479275,6575.660156
62,0.994592792151568,1,1,1,3.337528544009764,7.62,18410.726221364763,17365.2,3935.3174244667534,6527.350098
63,0.9902891176315384,1,1,1,3.3810659976664086,7.37,18412.43374131044,16728.8,3995.2034633110698,6678.339844
64,0.9866073268056903,1,1,1,3.4045173111334655,7.19,18364.695385301606,15941.8,4025.8143086579867,6701.040039
65,0.9877480895184189,1,1,1,3.4276338815266434,7.36,18547.625060278384,16303.0,4036.851651930905,6913.330078
66,0.9862735371541571,1,1,1,3.4547498600290023,6.99,18597.26864987176,8165.8,4048.312094556729,6892.399902
67,0.9821337773583412,1,1,1,3.483987920047631,7.46,18306.553132290057,7995.0,4051.767703402805,6949.009766
68,0.9815090814594742,1,1,1,3.540971581726816,7.12,18427.80741247127,8275.9,4056.1463390616545,7062.129883
69,0.9824479515191981,1,1,1,3.5621896068231544,6.9,18510.58076535913,8293.4,4076.995672254864,6795.209961
70,0.9814342409601134,1,1,1,3.6020676078305307,7.02,18552.62156285707,8341.7,4107.660339369006,6838.850098
71,0.9779567870733559,1,1,1,3.6479892380485226,6.44,18369.505034435027,8131.8,4136.711322034489,6613.279785
72,0.9769535578637805,1,1,1,3.6625935394654467,6.01,18189.66703860445,8121.6,4139.571309814845,6682.740234
73,0.9722790224264165,1,1,1,3.684712334424604,6.25,17747.744220608223,8064.4,4126.014695731536,6704.240234
74,0.9709895544908284,1,1,1,3.6932142418959475,5.8,17429.940127488164,7965.4,4154.0807519455375,6763.959961
75,0.9710066144572657,1,1,1,3.7080991276303767,5.47,17452.58795251126,8282.3,4162.857989948606,6767.970215
