day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9857588380774843,1,1,1,5.04296377402867,11.41,16186.902200882954,11829.6,987.1784175825895,7570.25
2,0.9865529913841893,1,1,1,5.064347945377075,11.85,16286.288525537806,11226.0,994.117351761863,7660.180176
3,0.9869525244396485,1,1,1,5.127387238768306,11.8,16564.533766188015,11332.7,1004.3829706803643,7642.669922
4,0.9883901092025211,1,1,1,5.160001132234138,11.43,16636.93598871833,11167.4,1017.7076698695219,7654.549805
5,0.9883901092025211,1,1,1,5.195640519284102,11.34,16644.882437972326,11384.4,1018.9380234421849,7622.319824
6,0.9894426623973677,1,1,1,5.240137166501234,10.56,16862.82269740643,12622.1,1026.8953923422696,7523.259766
7,0.989756197376994,1,1,1,5.287907876710219,10.44,17022.646185818765,13025.0,1028.9140618894048,7453.169922
8,0.9923365531319441,1,1,1,5.337821866931118,10.98,17067.02527954555,11924.8,1053.359650709273,7430.259766
9,0.9937217736051065,1,1,1,5.367466989390966,11.23,17146.479660859684,11368.1,1054.8300544237793,7447.680176
10,0.9937217736051065,1,1,1,5.4127059634870935,11.51,17264.841706986324,11686.5,1059.1999593261846,7507.870117
11,0.9956007441606629,1,1,1,5.429113928689273,11.19,17319.134035664465,11374.2,1074.0529832062768,7488.060059
12,0.9966946936343474,1,1,1,5.46921831960975,11.27,17350.44003728844,10036.4,1077.1356746171264,7561.689941
13,0.9989455121086238,1,1,1,5.528532278171251,11.21,17443.921327379874,10792.9,1079.568151574428,7545.5
14,1.0005091129081192,1,1,1,5.562286274448402,11.41,17659.48329469477,9283.5,1088.4654906842427,7434.72998
15,1.0012429958432008,1,1,1,5.5958472392896725,11.54,17740.64701310881,9777.4,1094.1531102363388,7494.399902
16,1.0013182810663968,1,1,1,5.6335139888750385,11.1,17814.139923003313,10594.8,1100.5534149225937,7490.319824
17,1.003808101441503,1,1,1,5.6800037232910086,11.09,17946.21522039481,10544.6,1118.8309407167733,7569.029785
18,1.0048773988957702,1,1,1,5.725256106214442,11.09,18067.513965101516,10754.4,1120.022765204886,7531.069824
19,1.0059260503597915,1,1,1,5.768160165198528,10.48,18113.0906105488,10727.8,1137.7109306472544,7548.75
20,1.0059260503597915,1,1,1,5.83436182851855,10.01,18220.45141323791,10326.5,1154.689790102871,7563.189941
21,1.0059260503597915,1,1,1,5.882265179981122,9.86,18232.114685707507,9647.7,1173.7302739303045,7563.089844
22,1.0063102997875315,1,1,1,5.936820881369002,9.91,18329.61402033017,10127.0,1179.634483305983,7629.569824
23,1.0063102997875315,1,1,1,5.98259462506732,10.65,18353.97254669888,9756.4,1186.71046364102,7627.649902
24,1.0066521783335176,1,1,1,6.061271944012389,8.72,18488.874106493757,10156.1,1195.339281216296,7645.450195
25,1.0071945873490713,1,1,1,6.1351877089683216,8.0,18560.377214152555,9485.7,1205.277392677069,7628.279785
26,1.00306447810535,1,1,1,6.182259295690253,8.14,18507.60309633584,9774.8,1213.4696499241877,7637.430176
27,1.004415977213397,1,1,1,6.2458113071704595,8.19,18594.27559225779,9544.6,1226.7141731102195,7490.0
28,1.0051637599376462,1,1,1,6.3135459339613105,8.33,18718.216485792043,9678.3,1246.554873959535,7399.009766
29,1.0054742370493661,1,1,1,6.353770920455005,8.51,18754.937421332837,10010.7,1252.5104384019567,7352.819824
30,1.005697716118523,1,1,1,6.283725713327318,7.74,18829.57009285697,10385.5,1255.8044698034914,7371.620117
31,1.0076841904907108,1,1,1,6.334733026635543,8.0,18930.553162008106,10775.8,1274.3429073574187,7044.5
32,1.0081292432035662,1,1,1,6.3767446766366,8.14,19046.343642663265,10845.5,1282.5553865617833,6964.029785
33,1.010341833512875,1,1,1,6.404739222279738,8.42,19107.451702645063,11389.1,1295.7060776592712,7157.209961
34,1.010341833512875,1,1,1,6.437781921427982,8.25,19197.423488266668,11601.4,1297.8550193731955,7068.669922
35,1.009960499477139,1,1,1,6.507655737876616,8.25,19313.35542678862,11786.2,1308.9938639658517,7276.430176
36,1.010294547565195,1,1,1,6.57163936898583,8.12,19392.566647135616,11391.0,1321.5089227435778,7278.629883
37,1.010541889358274,1,1,1,6.603587428354092,8.09,19397.314363748028,11354.6,1326.1436077056064,7116.089844
38,1.010605496418018,1,1,1,6.630053833327288,7.93,19398.535298918156,10640.9,1326.2270798472096,7107.22998
39,1.0107515646427796,1,1,1,6.669434318219354,7.43,19401.339073115043,10013.8,1332.034518863553,7141.209961
40,1.011797909659095,1,1,1,6.722539512666522,7.45,19526.26541076195,10376.0,1352.882359759991,7118.669922
41,1.0123047799567737,1,1,1,6.755765546527377,7.87,19673.352718371305,10416.8,1360.8710233764104,6789.149902
42,1.0115967869369846,1,1,1,6.774078273916598,7.45,19676.704275543172,10512.6,1359.919247582736,7016.390137
43,1.0115967869369846,1,1,1,6.828902872579148,7.0,19732.40957974068,10586.0,1371.1378886519863,6852.399902
44,1.0115967869369846,1,1,1,6.884485841329129,7.23,19757.152432411895,10363.7,1384.25106181001,6713.899902
45,1.0115967869369846,1,1,1,6.9269466471966235,7.13,19814.911655966884,10487.1,1387.3711836382836,6810.120117
46,1.0115967869369846,1,1,1,6.991127889233324,7.55,19885.652038389155,10361.1,1394.421323871614,6967.100098
