day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9773105206271187,1,1,1,5.04411924427025,11.41,15980.167426966622,11829.6,983.6323636386617,7570.25
2,0.9695446152620887,1,1,1,5.088157935968335,11.85,15853.185812284397,11226.0,990.2996859174622,7660.180176
3,0.9802960689676081,1,1,1,4.636166138702098,11.8,16128.603637833605,11332.7,1086.7891851517593,7642.669922
4,0.9919653338529832,1,1,1,4.1985620657008536,11.43,16432.31876287342,11167.4,1201.6774011825341,7654.549805
5,0.9514448519018943,1,1,1,4.175537208884381,11.34,15788.806919834307,11384.4,1249.9417471113397,7622.319824
6,0.9939245707935973,1,1,1,3.1365777288375147,10.56,16560.63011693355,12622.1,1753.4560722786377,7523.259766
7,0.956411301084479,1,1,1,3.064137671118274,10.44,16057.636090683309,13025.0,1901.3450811195462,7453.169922
8,0.9465834442656542,1,1,1,2.9299257314684115,10.98,16016.880764152515,11924.8,2082.115825210324,7430.259766
9,0.9433994436658476,1,1,1,2.9280945064622235,11.23,15967.510010509748,11368.1,2105.1505786646658,7447.680176
10,0.9454060081419938,1,1,1,2.9392674667445946,11.51,16033.478904333064,11686.5,2116.603527179179,7507.870117
11,0.9533140255299832,1,1,1,2.838924733466389,11.19,16241.363795038695,11374.2,2226.501789674608,7488.060059
12,0.9499763189417385,1,1,1,2.771310440081368,11.27,16019.90637774261,10036.4,2345.154515601696,7561.689941
13,0.9412859825479847,1,1,1,2.8054565301219587,11.21,15908.54916596897,10792.9,2375.9598895466133,7545.5
14,0.9198345453423364,1,1,1,2.7757664349926277,11.41,15358.94193784129,9283.5,2568.7725344535693,7434.72998
15,0.9221230087203737,1,1,1,2.6855841284879736,11.54,15439.126274901246,9777.4,2724.080714988949,7494.399902
16,0.9239484590236426,1,1,1,2.6979384281021352,11.1,15573.169015427728,10594.8,2729.4733512427674,7490.319824
17,0.9219963686013559,1,1,1,2.6933511102068204,11.09,15316.212182065638,10544.6,2785.5537664221265,7569.029785
18,0.9181746137475104,1,1,1,2.690020391959181,11.09,15259.624141609265,10754.4,2875.637493390959,7531.069824
19,0.9116766874019919,1,1,1,2.7350468316675487,10.48,15313.419018696119,10727.8,2910.8362478459785,7548.75
20,0.9102121171341798,1,1,1,2.75725712524144,10.01,15184.91247632714,10326.5,2909.5982307599925,7563.189941
21,0.9056934731091743,1,1,1,2.767394964191207,9.86,15127.016197428695,9647.7,2955.792697573549,7563.089844
22,0.9066344112434845,1,1,1,2.7464363753203838,9.91,15142.731874775498,10127.0,3054.1961824711375,7629.569824
23,0.9138547009884644,1,1,1,2.666537617358191,10.65,15222.491816327609,9756.4,3219.412697373983,7627.649902
24,0.9214210790420524,1,1,1,2.5954374192660086,8.72,15348.528403845738,10156.1,3369.7483101487846,7645.450195
25,0.9234823617611562,1,1,1,2.5980334773309113,8.0,15421.041010690215,9485.7,3402.079694223031,7628.279785
26,0.9299356912870549,1,1,1,2.5472829992727393,8.14,15626.053578592438,9774.8,3524.7191031784228,7637.430176
27,0.925685227108534,1,1,1,2.5771183440287864,8.19,15382.869242216737,9544.6,3537.191520734155,7490.0
28,0.9201699196484225,1,1,1,2.5960124479498923,8.33,15116.178308200413,9678.3,3556.8454237835085,7399.009766
29,0.9144372928428472,1,1,1,2.6132342527335393,8.51,14583.054010061518,10010.7,3598.68966793296,7352.819824
30,0.9152771005104854,1,1,1,2.6417655439503545,7.74,14636.402282315401,10385.5,3618.475931386148,7371.620117
31,0.9175005114826468,1,1,1,2.598290128781297,8.0,14654.276798759296,10775.8,3716.7794851070657,7044.5
32,0.9155932035364991,1,1,1,2.6030445654438124,8.14,14465.146297933514,10845.5,3756.8931338263774,6964.029785
33,0.9193681272252318,1,1,1,2.5739490943369967,8.42,14548.140902532696,11389.1,3864.644699709073,7157.209961
34,0.9223555101709081,1,1,1,2.5416566225608297,8.25,14615.05562443384,11601.4,3955.070831262557,7068.669922
35,0.9220964113947807,1,1,1,2.534382447367555,8.25,14613.427542288257,11786.2,3989.5901917299766,7276.430176
36,0.9243453524782304,1,1,1,2.529688947338418,8.12,14762.640614861431,11391.0,4032.4221587280886,7278.629883
37,0.9245707326255853,1,1,1,2.5035595359895737,8.09,14771.138924222569,11354.6,4111.148170046585,7116.089844
38,0.9218619209005218,1,1,1,2.529123433966359,7.93,14618.754135051326,10640.9,4137.89992369622,7107.22998
39,0.9227096049532235,1,1,1,2.5352253545777477,7.43,14581.085077435322,10013.8,4172.565393560584,7141.209961
40,0.9241372526630103,1,1,1,2.5287567149246346,7.45,14506.960482685521,10376.0,4222.086432873453,7118.669922
41,0.9240566444488314,1,1,1,2.532125810215267,7.87,14481.151366340275,10416.8,4274.278470597084,6789.149902
42,0.9246972455259995,1,1,1,2.5339236436176935,7.45,14415.761028431525,10512.6,4313.293866898658,7016.390137
43,0.9242118498728752,1,1,1,2.5472908449946643,7.0,14451.924764427702,10586.0,4412.645426231768,6852.399902
44,0.9265869750511058,1,1,1,2.533019701406979,7.23,14393.92848184342,10363.7,4511.229429037081,6713.899902
