env,DuetHolder,DAssetHolder,Bullisher,Bearisher,Spread,Fitness,loss1,loss2,loss3,exp_id
2,0.7970784790990425,0.45474423911301,0.8368007627197496,0.6832149368973142,0.0006851535460649094,4,17742.552837272233,17106.43716198589,636.1156752863415,1,9fbc21d1754541e6a62a936bf601ead2
2,0.7970784790990425,0.45474423911301,0.8368007627197496,0.6832149368973142,0.0006851535460649094,4,17742.552837272233,17106.43716198589,636.1156752863415,1,9fbc21d1754541e6a62a936bf601ead2
3,0.7970784790990425,0.45474423911301,0.8368007627197496,0.9348578402763391,0.11258223369095188,1,13721.19247603268,12691.275964132607,1029.9165119000736,1,656fe40daa4e455e83711f31cd9a627a
3,0.7970784790990425,0.5358139010538444,0.8368007627197496,0.9348578402763391,0.12033677319495573,1,13321.331434290289,12788.243215174323,533.0882191159662,1,59597e14811c4cc4bf5ad649eadab63c
2,0.7970784790990425,0.45474423911301,0.1558846710307049,0.46759580183340255,0.0006851535460649094,4,16594.535983465954,16190.948038437684,403.58794502827175,1,59be7c78f601460084dea5d073b2f500
2,0.7970784790990425,0.5358139010538444,0.8368007627197496,0.9348578402763391,0.12033677319495573,4,15202.84813485035,14252.422616316477,950.4255185338736,1,05a4077802384e59a13f01da0188b3c3
2,0.7970784790990425,0.45474423911301,0.8368007627197496,0.29424264257073807,0.0006851535460649094,4,16957.826272326576,16697.076290143377,260.74998218319814,1,0e74cac1bef04b3aa329ba768c7167d2
2,0.7970784790990425,0.45474423911301,0.1558846710307049,0.46759580183340255,0.0006851535460649094,4,16309.712495874614,15888.934889810927,420.77760606368616,1,a1639068c0494b5c8d04aff13bcf42fb
2,0.35104598965074063,0.45474423911301,0.8368007627197496,0.6832149368973142,0.0006851535460649094,4,17964.965151952358,17618.25045512534,346.7146968270158,1,9c59b95a10e643768b104e71461e4a8d
2,0.35104598965074063,0.45474423911301,0.8368007627197496,0.6832149368973142,0.0006851535460649094,4,18294.258576684973,17778.59227267547,515.6663040095058,1,f8763e81561c4e609d74614607e5cfb0
