day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9855253243312647,1,1,1,5.0481211472323295,11.41,16078.914689499128,11829.6,982.0880162743047,7570.25
2,0.9860624186097311,1,1,1,5.0654046987635235,11.85,16087.677420268668,11226.0,991.1121517392154,7660.180176
3,0.9865529366390927,1,1,1,5.0994373961269455,11.8,16218.536724963717,11332.7,993.6654521322789,7642.669922
4,0.9875880956362417,1,1,1,5.128872479346571,11.43,16235.554325933648,11167.4,1015.1901225182272,7654.549805
5,0.9880462621628971,1,1,1,5.167623804273286,11.34,16362.636445691853,11384.4,1022.8338155301451,7622.319824
6,0.9901982577260449,1,1,1,5.2211778122841634,10.56,16575.226483053855,12622.1,1042.4301325637011,7523.259766
7,0.9929546701332328,1,1,1,5.25622019973245,10.44,16728.832193568378,13025.0,1057.7942159022507,7453.169922
8,0.9949711200833118,1,1,1,5.288572139258943,10.98,16852.1205574997,11924.8,1074.6112526596019,7430.259766
9,0.9964423913748996,1,1,1,5.350336254129535,11.23,17038.25741809907,11368.1,1098.8524160785707,7447.680176
10,0.9986618064055516,1,1,1,5.389107681969505,11.51,17232.673298929305,11686.5,1101.6284472161772,7507.870117
11,1.0008389893446135,1,1,1,5.435495125670104,11.19,17270.242255767553,11374.2,1139.9129649004376,7488.060059
12,1.003004409532995,1,1,1,5.446866782330954,11.27,17341.239231772623,10036.4,1142.3792862303148,7561.689941
13,1.0046106889342707,1,1,1,5.473789243480421,11.21,17493.558724318664,10792.9,1151.9194459149655,7545.5
14,1.0049028775769877,1,1,1,5.515835318476634,11.41,17649.902936295926,9283.5,1152.2544789612277,7434.72998
15,1.005468454769799,1,1,1,5.554182462883695,11.54,17756.42534791195,9777.4,1152.9029882531768,7494.399902
16,1.005468454769799,1,1,1,5.615425770898781,11.1,17795.31789547754,10594.8,1162.7666081564091,7490.319824
17,1.0057937113610511,1,1,1,5.655510196469541,11.09,17801.074460401553,10544.6,1168.8910866897224,7569.029785
18,1.0087469901771045,1,1,1,5.697257877000953,11.09,17982.380378677426,10754.4,1183.506206435426,7531.069824
19,1.0090538882291358,1,1,1,5.729537435942125,10.48,18010.91098884118,10727.8,1188.6225819172446,7548.75
20,1.0090538882291358,1,1,1,5.775184186949087,10.01,18078.083925538598,10326.5,1192.7828443656317,7563.189941
21,1.0091058294306268,1,1,1,5.801787305408394,9.86,18079.01449764252,9647.7,1198.1264085046064,7563.089844
22,1.0091058294306268,1,1,1,5.880866361903408,9.91,18214.506465776107,10127.0,1198.1264085046064,7629.569824
23,1.0091955491952562,1,1,1,5.926056713481329,10.65,18252.90393044821,9756.4,1222.8072010470069,7627.649902
24,1.0091955491952562,1,1,1,5.985785603124218,8.72,18368.238388020734,10156.1,1231.4385261031075,7645.450195
25,1.0099935064673726,1,1,1,6.035462705714625,8.0,18453.233584603455,9485.7,1233.741993836783,7628.279785
26,1.0101706106670831,1,1,1,6.077076712566078,8.14,18477.354480219394,9774.8,1235.5088245666975,7637.430176
27,1.0101706106670831,1,1,1,6.110897724591745,8.19,18481.061677164806,9544.6,1242.9656800545147,7490.0
28,1.0112760912121408,1,1,1,6.158707976136014,8.33,18638.75346268728,9678.3,1251.4717304815947,7399.009766
29,1.0112760912121406,1,1,1,6.196982509616608,8.51,18692.26319368598,10010.7,1256.7071049165443,7352.819824
30,1.0112760912121406,1,1,1,6.2362416029635135,7.74,18743.69672187705,10385.5,1261.4247440247543,7371.620117
31,1.011913583302316,1,1,1,6.306997012811574,8.0,18826.718495369787,10775.8,1277.8879838236694,7044.5
32,1.010910345452975,1,1,1,6.382013436215228,8.14,18815.71892148261,10845.5,1286.4735816428456,6964.029785
33,1.011580566046873,1,1,1,6.420062944655817,8.42,19001.731573499754,11389.1,1289.073913674073,7157.209961
34,1.0115805660468733,1,1,1,6.4919988407872,8.25,19085.06049130288,11601.4,1298.531060661169,7068.669922
35,1.008723927281077,1,1,1,6.544854930104036,8.25,19069.45157355024,11786.2,1301.2764992595664,7276.430176
36,1.0090580726144054,1,1,1,6.578748782105039,8.12,19154.49340484453,11391.0,1312.6999788819442,7278.629883
37,1.0090580726144054,1,1,1,6.620383241923441,8.09,19215.153575093693,11354.6,1312.699978881944,7116.089844
38,1.0096554666973188,1,1,1,6.66721715144066,7.93,19310.833674222213,10640.9,1314.2911937291906,7107.22998
39,1.0091765006966171,1,1,1,6.711915475716271,7.43,19369.66739706562,10013.8,1323.449985960505,7141.209961
40,1.0076792933298586,1,1,1,6.7551545589655255,7.45,19345.295868613444,10376.0,1333.246416307634,7118.669922
41,1.0087477652303742,1,1,1,6.792778594771895,7.87,19396.649233182652,10416.8,1346.3406235726573,6789.149902
42,1.0099930717770438,1,1,1,6.836153510620723,7.45,19420.594539537822,10512.6,1348.2248883596158,7016.390137
43,1.0076553593189288,1,1,1,6.872922898760332,7.0,19478.745971902714,10586.0,1345.1043104012804,6852.399902
44,1.0086917303353726,1,1,1,6.909915956288086,7.23,19590.0073462929,10363.7,1347.5460608502199,6713.899902
45,1.009061996097004,1,1,1,6.945047086286486,7.13,19604.921130870793,10487.1,1348.0407116474346,6810.120117
46,1.009061996097004,1,1,1,6.995351174372842,7.55,19613.40948566767,10361.1,1357.0540992924368,6967.100098
47,1.0074746378587214,1,1,1,7.042790390162853,7.35,19605.15411603308,10408.1,1366.8086306329171,7069.169922
48,1.0074746378587214,1,1,1,7.102511672800138,7.57,19608.263136275884,10080.7,1386.9900250404244,6965.290039
49,1.0077202681758808,1,1,1,7.1890311407661045,7.4,19757.258661723197,10109.6,1404.1803484793559,6937.089844
50,1.0081529534691973,1,1,1,7.261139826368732,7.72,20005.90106539334,10372.2,1420.9134962820715,6988.850098
51,1.0089881812200978,1,1,1,7.309855425226169,7.82,20068.270638633567,10303.3,1429.227803553514,7203.129883
52,1.0094515656405632,1,1,1,7.345269455621159,7.69,20164.350115837588,10319.0,1433.6019461737603,7158.589844
53,1.0097909802149565,1,1,1,7.383163890198623,7.3,20228.094276983506,10348.6,1439.7812253517823,7039.149902
54,1.0105542858337302,1,1,1,7.420904593035179,7.11,20286.260077597755,10233.8,1453.2153082656787,6829.100098
55,1.0105542858337302,1,1,1,7.469842541320201,7.18,20286.26007759776,10226.5,1454.8238601626972,6830.910156
56,1.0105542858337302,1,1,1,7.525185385204726,7.34,20327.170830738836,10139.6,1474.0590435774732,6769.870117
57,1.010704047196349,1,1,1,7.580125558188427,7.29,20365.26347964217,10235.3,1477.4405139785956,6890.450195
58,1.010884151964134,1,1,1,7.669823807637806,7.69,20410.83971594262,10163.7,1488.2937024672526,6867.02002
59,1.01107358649814,1,1,1,7.723144513476149,7.48,20450.415445739774,9908.8,1500.879850398078,6642.919922
60,1.0120888834546977,1,1,1,7.768551734396529,7.54,20515.803130247714,9992.3,1516.5489807417932,6526.959961
