day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9858172208079024,1,1,1,5.0413974543444136,11.41,16103.878532124536,23659.2,983.6507597449023,7570.25
2,0.9871838703219881,1,1,1,5.010548306017607,11.85,16142.627658406424,22452.0,1002.3054588177461,7660.180176
3,0.9235264423864348,1,1,1,5.11896950590181,11.8,15101.688692780592,22665.4,1038.6590886574245,7642.669922
4,0.7818048902232089,1,1,1,5.3977095419992835,11.43,12822.33856399539,22334.8,1143.1828614647225,7654.549805
5,0.8256983321970293,1,1,1,3.9864689779268536,11.34,13542.232466893242,22768.8,1786.9557448793953,7622.319824
6,0.8244568433609093,1,1,1,4.0051820731696814,10.56,13656.953306408655,12622.1,1796.2807298148673,7523.259766
7,0.8510700924671462,1,1,1,3.4110052700149676,10.44,14146.896066465246,13025.0,2236.87497252045,7453.169922
8,0.8528862268707116,1,1,1,3.4018188128537656,10.98,14181.244690133479,11924.8,2257.657132000796,7430.259766
9,0.8518160192927808,1,1,1,3.4098237538468297,11.23,14196.872755331993,11368.1,2293.247587484495,7447.680176
10,0.8603045156416685,1,1,1,3.274314451777364,11.51,14399.643553265683,11686.5,2476.2256520516275,7507.870117
11,0.8553841903165669,1,1,1,3.310683776161043,11.19,14429.098667174258,11374.2,2497.839597085713,7488.060059
12,0.854690516432391,1,1,1,3.305305672104301,11.27,14459.388582227613,10036.4,2553.1277967073047,7561.689941
13,0.8601558833068118,1,1,1,3.2332028481461865,11.21,14551.849960776131,10792.9,2661.921553974299,7545.5
14,0.8621526444343486,1,1,1,3.170547768095618,11.41,14562.18028294587,9283.5,2780.0384183489996,7434.72998
15,0.8579002348030359,1,1,1,3.216615182115557,11.54,14227.728982322,9777.4,2792.3383726200595,7494.399902
16,0.8637894366530864,1,1,1,3.1549622626218436,11.1,14337.771179954543,10594.8,2899.262875531556,7490.319824
17,0.8628150351242723,1,1,1,3.1837521441618537,11.09,14399.412953437513,10544.6,2931.321896203573,7569.029785
18,0.8664896225282211,1,1,1,3.1390392424947926,11.09,14464.725136824725,10754.4,3019.076919275002,7531.069824
19,0.8687314466168367,1,1,1,3.1148957318596304,10.48,14538.8954367974,10727.8,3070.3690294676426,7548.75
20,0.8655278803047366,1,1,1,3.154370152070735,10.01,14485.281266598018,10326.5,3100.0759200304233,7563.189941
21,0.8666642240392675,1,1,1,3.171133144205716,9.86,14504.298861507175,9647.7,3115.226074076972,7563.089844
22,0.8680517804320351,1,1,1,3.1697539082454687,9.91,14533.525847986606,10127.0,3160.5912904350453,7629.569824
23,0.863406655653019,1,1,1,3.2048061083474813,10.65,14322.38907272627,9756.4,3184.1689770784983,7627.649902
24,0.862974439763769,1,1,1,3.216797468392179,8.72,14367.06635816439,10156.1,3231.9084242415756,7645.450195
25,0.8701815175487602,1,1,1,3.1270375103423054,8.0,14520.596654380946,9485.7,3391.3251983396926,7628.279785
26,0.8729519225558214,1,1,1,3.114754753038678,8.14,14571.494659072056,9774.8,3459.316462690288,7637.430176
27,0.874442145191029,1,1,1,3.120576699629206,8.19,14514.87027274417,9544.6,3511.9819448971257,7490.0
28,0.8800524444084478,1,1,1,3.0746160566294836,8.33,14678.838165847952,9678.3,3642.3129036308187,7399.009766
29,0.8814093115178692,1,1,1,3.097435488734257,8.51,14772.874644135512,10010.7,3669.61838992729,7352.819824
30,0.882410587042617,1,1,1,3.0905428887431077,7.74,14859.049051862854,20771.0,3688.887740168509,7371.620117
31,0.8850319916521893,1,1,1,3.0827304726586586,8.0,15013.31220906167,21551.6,3745.6028207896848,7044.5
32,0.8853526460981597,1,1,1,3.0945350367338986,8.14,15095.84199234543,21691.0,3798.3005813321047,6964.029785
33,0.8853768999511862,1,1,1,3.1074132408948643,8.42,15096.255536411298,22778.2,3801.8804136663366,7157.209961
