day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9878289779865191,1,1,1,4.923579896543679,11.41,16116.49896022512,11829.6,1004.3483046909279,7570.25
2,0.9748986441566407,1,1,1,4.212881781165806,11.85,15905.539658191523,11226.0,1196.9497200037688,7660.180176
3,0.9902314864092185,1,1,1,3.3952776973392518,11.8,16155.69605340545,11332.7,1508.8383806456688,7642.669922
4,0.9828851481606895,1,1,1,3.121119935449102,11.43,16035.840030366717,11167.4,1691.4049281913683,7654.549805
5,0.9415202439754522,1,1,1,3.056104280976289,11.34,15360.96872151928,11384.4,1843.9149813648783,7622.319824
6,0.948435258942718,1,1,1,2.8502961524718096,10.56,15473.787675015703,12622.1,2073.611274398565,7523.259766
7,0.9251901130886052,1,1,1,2.9037073234647934,10.44,15071.143520647964,13025.0,2131.639377738723,7453.169922
8,0.9274100876560306,1,1,1,2.729642578296448,10.98,15139.350910391418,11924.8,2332.1364745799174,7430.259766
9,0.9319674213568859,1,1,1,2.6980717993519727,11.23,15213.746342392145,11368.1,2410.4304675231347,7447.680176
10,0.9250434898041668,1,1,1,2.6492676032999527,11.51,15307.615306812708,11686.5,2593.7612631360225,7507.870117
11,0.927810288303185,1,1,1,2.6302350406370416,11.19,15435.313008568253,11374.2,2698.824848232374,7488.060059
12,0.9306576770736115,1,1,1,2.6118450318696267,11.27,15606.341760712461,10036.4,2789.7054313081385,7561.689941
13,0.9268300046454152,1,1,1,2.6050985295666016,11.21,15624.68718411152,10792.9,2898.930008246104,7545.5
14,0.9316791636302523,1,1,1,2.5646594921406947,11.41,15848.926954818608,9283.5,2982.241491614107,7434.72998
15,0.931358247518355,1,1,1,2.555725376597994,11.54,15582.293353075253,9777.4,3041.161556449297,7494.399902
16,0.9345457646696447,1,1,1,2.5327386170340622,11.1,15765.160439535133,10594.8,3173.1248966149,7490.319824
17,0.9351557894737601,1,1,1,2.5268274862508764,11.09,15766.21351377974,10544.6,3233.668256339385,7569.029785
18,0.9330362873476771,1,1,1,2.54064780545002,11.09,15669.571147175846,10754.4,3285.819422793033,7531.069824
19,0.9268639939277922,1,1,1,2.58107057453334,10.48,15629.672893482719,10727.8,3363.835258508148,7548.75
20,0.928006118297263,1,1,1,2.5695735841827765,10.01,15741.199281028652,10326.5,3473.5825624225567,7563.189941
21,0.9265890797303227,1,1,1,2.546280037757676,9.86,15816.835635797433,9647.7,3669.1355895554784,7563.089844
22,0.9264749524248029,1,1,1,2.563883465650746,9.91,15618.84622805434,10127.0,3727.354003039817,7629.569824
23,0.9225739756290161,1,1,1,2.588846637179962,10.65,15584.691346589132,9756.4,3782.950322376102,7627.649902
24,0.9240802871208582,1,1,1,2.594225608126487,8.72,15627.909904872053,10156.1,3830.2964558526787,7645.450195
25,0.9277458839031738,1,1,1,2.536362473650296,8.0,15306.651460495652,9485.7,3993.9803310877087,7628.279785
26,0.9243976339811123,1,1,1,2.5501186104752382,8.14,14924.084891172073,9774.8,4060.44785244867,7637.430176
27,0.9206970173216793,1,1,1,2.5751881011680102,8.19,14484.875938041017,9544.6,4124.939351501499,7490.0
28,0.9211279160393957,1,1,1,2.574420673351077,8.33,14535.835016943876,9678.3,4233.6331296262415,7399.009766
29,0.9257021997508783,1,1,1,2.5492537043502974,8.51,14615.981511747888,10010.7,4395.304327261234,7352.819824
30,0.9277629250834619,1,1,1,2.539194989406135,7.74,14673.018511380713,10385.5,4431.441242976898,7371.620117
31,0.9283696594369194,1,1,1,2.541557962333659,8.0,14791.550170555996,10775.8,4573.103729066827,7044.5
32,0.9243047088352333,1,1,1,2.5395988901892776,8.14,14681.109161613413,10845.5,4631.524975603198,6964.029785
33,0.9225569972172609,1,1,1,2.5144195698454976,8.42,14452.947633968835,11389.1,4667.316222562813,7157.209961
34,0.9240840991713545,1,1,1,2.514362075759827,8.25,14406.939508888598,11601.4,4729.563808093849,7068.669922
35,0.9276198572318168,1,1,1,2.4930895229716,8.25,14511.910018063094,11786.2,4810.045288279408,7276.430176
36,0.9263506784633067,1,1,1,2.5140671523622418,8.12,14758.363307256823,11391.0,4847.174959086634,7278.629883
37,0.9255923226196042,1,1,1,2.5425125553305308,8.09,14898.27692236262,11354.6,4908.332655066205,7116.089844
38,0.9274826380006289,1,1,1,2.550234571555327,7.93,14981.95263116989,10640.9,4966.449410073833,7107.22998
39,0.9253671449961343,1,1,1,2.5618919126146826,7.43,14454.215531520842,10013.8,5039.893002162288,7141.209961
40,0.925838743283036,1,1,1,2.5780314677747245,7.45,14191.42997839266,10376.0,5099.247575484306,7118.669922
41,0.927735487073343,1,1,1,2.594684083133426,7.87,14288.397391684706,10416.8,5204.487907515239,6789.149902
42,0.9286992066545467,1,1,1,2.6080250040516977,7.45,14381.417668453874,10512.6,5227.238638398595,7016.390137
43,0.9324274314757547,1,1,1,2.613541414530141,7.0,14343.82450381901,10586.0,5332.527865356477,6852.399902
44,0.9341658227548923,1,1,1,2.626760691514772,7.23,14293.372442897065,10363.7,5411.780287314767,6713.899902
45,0.930914251924568,1,1,1,2.6528460996253997,7.13,13930.959513311558,10487.1,5405.106652733672,6810.120117
46,0.9250593670617817,1,1,1,2.690911288556461,7.55,13518.830285223821,10361.1,5381.641530572998,6967.100098
47,0.9251121422385632,1,1,1,2.722015408811338,7.35,13569.687895502091,10408.1,5391.555035302585,7069.169922
48,0.9266839702358332,1,1,1,2.72768718649291,7.57,13609.916769619576,10080.7,5438.450653890457,6965.290039
49,0.9235148263636489,1,1,1,2.7668439267341842,7.4,13258.247148968989,10109.6,5429.594359440118,6937.089844
50,0.9272196541311758,1,1,1,2.767001533139072,7.72,13325.682905348354,10372.2,5496.500008051126,6988.850098
51,0.9293220774658796,1,1,1,2.7787211873705084,7.82,13355.898212547943,10303.3,5535.7407754915375,7203.129883
52,0.9304203299671939,1,1,1,2.7911776764341063,7.69,13283.323161456858,10319.0,5601.371352277037,7158.589844
53,0.9387278330970565,1,1,1,2.7567966105082196,7.3,13411.311896155692,10348.6,5815.904923229131,7039.149902
54,0.9369434606428126,1,1,1,2.7927436168754425,7.11,13340.652945184862,10233.8,5839.094321810034,6829.100098
55,0.9316417037967955,1,1,1,2.8350106105196082,7.18,12870.866523515078,10226.5,5816.860586399193,6830.910156
56,0.9311900117623336,1,1,1,2.86016239622378,7.34,12928.478639221079,10139.6,5839.884373568399,6769.870117
57,0.9306533320618289,1,1,1,2.8809018384193092,7.29,12841.34889390084,10235.3,5844.278188561034,6890.450195
58,0.9308806777929235,1,1,1,2.891082262551843,7.69,12820.241925093756,10163.7,5853.558823119688,6867.02002
59,0.929664655155719,1,1,1,2.908118583492632,7.48,12747.878539420793,9908.8,5857.835991586155,6642.919922
60,0.9284039350628884,1,1,1,2.913242989549395,7.54,12536.458771126285,9992.3,5864.614697365314,6526.959961
61,0.9280003811967541,1,1,1,2.936488412499746,7.44,12512.515560971593,9720.3,5867.05877856585,6575.660156
62,0.927619591141195,1,1,1,2.9451396703396497,7.62,12367.97829837831,8682.6,5864.651325203194,6527.350098
63,0.9234976242754623,1,1,1,2.9722878688379275,7.37,11994.561084902125,8364.4,5839.364436091017,6678.339844
64,0.9218077262984528,1,1,1,3.006925494475583,7.19,11839.332944617769,7970.9,5880.599581527976,6701.040039
65,0.915276971141903,1,1,1,3.0434053537233745,7.36,11436.609708158723,8151.5,5844.997184706408,6913.330078
66,0.9139130460065968,1,1,1,3.0674850213075824,6.99,11305.11856158752,8165.8,5842.729029600118,6892.399902
67,0.9088519260687898,1,1,1,3.102210451586971,7.46,10826.495748259198,7995.0,5836.338810962252,6949.009766
68,0.9067237217171791,1,1,1,3.1328496354073025,7.12,10614.64055370979,8275.9,5834.152212030879,7062.129883
69,0.9036130333090933,1,1,1,3.157383953269596,6.9,10378.866986903717,8293.4,5824.612750975065,6795.209961
70,0.9038460305645293,1,1,1,3.1835351807363543,7.02,10327.818888511789,8341.7,5842.633809605582,6838.850098
71,0.9041956123056955,1,1,1,3.20395763020313,6.44,10386.382157279528,8131.8,5857.8250642293115,6613.279785
72,0.9027808627163612,1,1,1,3.2309429610150837,6.01,10249.155024396152,8121.6,5857.420601849487,6682.740234
73,0.9017115671333453,1,1,1,3.249551600378526,6.25,10186.086409672684,8064.4,5854.670179486714,6704.240234
74,0.9007261898624433,1,1,1,3.275312634623561,5.8,10083.133967679634,7965.4,5858.441590846426,6763.959961
75,0.9001931822656509,1,1,1,3.3056381261003613,5.47,10075.832811622575,8282.3,5908.572994226168,6767.970215
76,0.9007870507584129,1,1,1,3.325445101764593,5.18,10019.739467962961,8166.4,5915.229179288653,6594.959961
77,0.9007121137381108,1,1,1,3.362639981687178,5.15,9957.378705350653,8528.9,5950.333962592609,6448.390137
78,0.9018609337015884,1,1,1,3.3729177740940517,4.71,10017.734020287298,8512.2,5957.923360293962,6491.52002
79,0.9016903435850389,1,1,1,3.3959004857675414,4.52,9994.52736523354,8304.3,5961.634388049407,6342.970215
80,0.9006970299946679,1,1,1,3.4301416342084883,4.27,10034.617154286563,8350.4,5979.26305222616,6243.189941
81,0.9020794176940833,1,1,1,3.4483886615058665,4.17,10099.656045546071,8298.4,5988.440011203159,6046.560059
82,0.9020894593545996,1,1,1,3.4832659649043705,4.78,10166.644625156106,8331.9,6006.333787476363,5899.350098
83,0.9031660324741295,1,1,1,3.5154836565172127,4.89,10193.225801101911,8170.0,6013.501876445219,6262.77002
84,0.902844800024307,1,1,1,3.5499281601333252,5.21,10211.40698448308,7976.1,6018.59419056066,6288.299805
85,0.9032765342643391,1,1,1,3.5663546698916493,5.08,10215.656461061124,8109.1,6024.403220983062,6285.27002
86,0.9034042247620504,1,1,1,3.5810931165739044,5.18,10179.983559441502,7906.3,6043.4154300198,6329.970215
87,0.9036605896977522,1,1,1,3.614335115098394,5.25,10207.80164185825,7917.6,6059.105254481328,6360.870117
88,0.8981711214074002,1,1,1,3.661168382357395,5.65,9733.175676344463,8217.2,6078.26057567556,6147.129883
89,0.8968925449315246,1,1,1,3.6865993882847388,5.92,9642.101465155314,8190.0,6083.5577554165475,6422.669922
90,0.8958519844359455,1,1,1,3.7057685831467726,5.85,9551.232042204589,8031.1,6076.499708264039,6488.25
91,0.8957264763921722,1,1,1,3.7300986964806326,5.98,9517.956460922442,7447.1,6086.073230251027,6551.850098
92,0.8918047888475964,1,1,1,3.7777857624873166,6.19,9199.750317193333,7443.9,6077.071619433111,6600.689941
93,0.8922752367739704,1,1,1,3.7895708464400046,6.2,9117.855391384617,8575.9,6087.607581712466,6620.939941
94,0.8928149533193366,1,1,1,3.8089244674191787,6.11,9117.4087897778,9129.9,6114.425739232977,6601.399902
95,0.8951175919841685,1,1,1,3.814802345351674,6.15,9181.251080166505,9710.0,6135.392310027145,6541.040039
96,0.8966053837032969,1,1,1,3.8397075222406656,6.17,9250.846099009494,9284.8,6178.6752936479215,6669.640137
97,0.8977149559399701,1,1,1,3.858918970476316,6.01,9268.96976555532,9359.7,6204.562856657301,6668.560059
98,0.8981319804498114,1,1,1,3.87095545314766,6.05,9276.748765561015,9116.4,6243.109888981332,6718.450195
99,0.8994023936730715,1,1,1,3.8855426928587335,5.52,9289.870783880337,9124.0,6259.920341620933,6784.609863
100,0.9005140625591389,1,1,1,3.902705514549062,5.39,9354.792580524241,9244.8,6271.359953321865,6646.810059
101,0.90164117827277,1,1,1,3.92035663244854,5.41,9409.062939941776,9316.3,6283.4450312568715,6658.759766
102,0.9021342823395553,1,1,1,3.948251420031732,5.77,9479.943957868078,9174.0,6311.904630888449,6702.549805
103,0.9033345437539613,1,1,1,3.9507697510804185,5.61,9520.898257026978,9421.2,6331.863450602396,6787.370117
104,0.9052636323690116,1,1,1,3.9743844337388805,5.55,9705.757205700767,9319.6,6365.6525702595245,6697.089844
105,0.9065339944757609,1,1,1,3.9901390459074007,5.98,9736.938958016099,9293.7,6376.261939961223,6632.790039
106,0.9078079450615303,1,1,1,4.028985661172012,5.88,9871.305528843252,9248.5,6385.807922928069,6807.910156
107,0.9081486968423201,1,1,1,4.0605148323714495,5.88,10015.287062061776,8834.5,6389.872041500743,6906.839844
108,0.9082174698651113,1,1,1,4.07233342377886,6.0,10014.018626486739,8770.7,6399.847533133356,6875.52002
109,0.9085275592009376,1,1,1,4.0908136390811585,5.8,9986.591793887497,9037.4,6414.098434980837,6959.959961
110,0.910850532743462,1,1,1,4.1075438028576245,5.93,10027.745267621718,8763.2,6448.230703828865,7023.52002
111,0.9126972762753305,1,1,1,4.122105293926885,5.7,10047.259917619489,8761.7,6485.139683686491,6997.620117
112,0.9140300448754478,1,1,1,4.151523096830915,5.67,10125.888382424551,8758.9,6500.766492891397,6904.97998
113,0.9144017955212852,1,1,1,4.179849652786199,5.79,10180.37024116654,8574.6,6552.807966911277,6913.129883
114,0.9148875739446953,1,1,1,4.20039033199164,5.83,10225.924402430606,8470.2,6557.8095983436415,6909.180176
115,0.9162138724797207,1,1,1,4.23432222319142,6.02,10316.848566350756,8499.5,6594.428407243408,7014.669922
116,0.917607615743866,1,1,1,4.253325559744441,6.07,10325.961367699552,8457.7,6604.459842533302,7015.879883
117,0.9178159757994934,1,1,1,4.267697780354771,6.29,10282.538024265295,8206.8,6610.933405492502,7022.419922
118,0.9183596553851381,1,1,1,4.292194927116978,6.14,10359.396018671021,8135.5,6642.944687830438,7055.180176
119,0.9190562034106724,1,1,1,4.314453868483006,6.34,10364.94042903319,8114.1,6664.066616185415,7066.609863
120,0.9125571418182753,1,1,1,4.354938601465389,6.12,9817.142275566453,7635.2,6619.00143147296,7062.339844
121,0.9061279099706477,1,1,1,4.4083024306804335,6.21,9288.647821676954,7238.9,6572.368631341751,7035.160156
122,0.9022220743851314,1,1,1,4.453314368011159,6.19,8969.469568302551,7244.8,6548.14966056763,7090.629883
123,0.9025011565522875,1,1,1,4.4879105806413016,6.14,9085.303501280736,6763.0,6553.636957705058,7115.430176
124,0.9001742398064455,1,1,1,4.518211209749793,6.1,8862.91086876807,7158.0,6554.073190902062,7123.220215
125,0.9003248736886132,1,1,1,4.541204805709874,6.17,8840.660392570544,7111.6,6565.218001460356,7117.0
126,0.899121113947443,1,1,1,4.589630954173432,6.33,8808.853879940501,7490.6,6563.286940982118,7097.529785
127,0.9003100927303,1,1,1,4.602292019364899,6.3,8806.220361359678,7480.0,6607.950133373422,7151.569824
128,0.9001680691062124,1,1,1,4.625774303772584,6.51,8812.83006946305,7745.6,6639.169549878845,7150.830078
129,0.9005473038241621,1,1,1,4.647727194918993,6.18,8822.771953548992,7341.6,6672.552963682305,7156.790039
130,0.9008107027179181,1,1,1,4.675266893874535,6.04,8802.225615209141,7361.0,6710.124011882083,7112.470215
131,0.9010998222209691,1,1,1,4.689392611224465,5.95,8760.09678281491,7299.3,6732.210102089497,7026.879883
132,0.9015357202306432,1,1,1,4.709845059085116,5.92,8764.460628014804,7162.3,6761.950026153513,7015.689941
133,0.9023140056470981,1,1,1,4.737799886370674,6.01,8732.985250404578,7221.4,6812.967852769263,7164.02002
134,0.9024540810774293,1,1,1,4.748169236764301,6.0,8777.128700634574,7397.5,6828.4497563367995,7201.279785
135,0.9039906492164694,1,1,1,4.777510455796903,5.92,8738.24902942082,7567.2,6875.518208528335,7256.97998
136,0.904431649095303,1,1,1,4.788086602747794,5.96,8727.577484931877,7445.8,6878.872339126376,7243.009766
137,0.9052331032564795,1,1,1,4.81490378334482,6.21,8749.649060722682,7512.3,6899.912208206399,7306.990234
138,0.9055396375996516,1,1,1,4.850530322132258,5.76,8785.876888854282,7394.6,6902.778612960436,7326.279785
139,0.905631125753195,1,1,1,4.8747568054174275,5.99,8803.671895267875,7236.4,6909.95481604047,7349.279785
140,0.9046394849795486,1,1,1,4.912211353881704,5.98,8706.950580996712,7167.7,6906.024260246806,7380.75
141,0.9048111180367217,1,1,1,4.928235986916424,5.96,8690.237017830825,7242.9,6912.105070535826,7493.27002
142,0.9045688954286468,1,1,1,4.947158836305153,5.78,8662.286010186424,7259.3,6919.19726784252,7326.060059
143,0.9060652920064289,1,1,1,4.959898957233625,5.89,8668.049759628091,7075.2,6934.464646020307,7316.959961
144,0.904872551887018,1,1,1,4.980566157277965,5.98,8556.311701091026,7071.5,6926.831533626908,7351.149902
145,0.9066311053490277,1,1,1,5.003569923452958,5.91,8612.85629608682,6903.3,6943.763580729195,7308.189941
146,0.9059338172111249,1,1,1,5.024685226600285,5.87,8492.334640273304,6672.5,6943.528584715699,7320.470215
147,0.9054707666305731,1,1,1,5.053377162579328,5.76,8358.524431366273,7156.5,6943.625497609032,7378.77002
148,0.9054730997485888,1,1,1,5.084290803054742,5.8,8359.931672049772,7150.4,6943.643389183602,7478.419922
149,0.9042538018836128,1,1,1,5.099377514522723,5.52,8225.992246885511,7161.9,6946.684164225094,7499.640137
150,0.9038366177677616,1,1,1,5.120252159055193,5.7,8257.35269512145,7157.0,6944.324441944197,7544.970215
151,0.9041183196145267,1,1,1,5.133328088946,5.81,8249.54568591031,7569.3,6946.488803269436,7540.569824
152,0.9047296105924603,1,1,1,5.158220807947171,5.86,8252.83543213122,7335.6,6996.680270316568,7578.839844
153,0.9069840780554339,1,1,1,5.191390630464446,5.66,8325.312286428205,7259.6,7018.426408038562,7599.740234
154,0.9073853129024254,1,1,1,5.235824985247824,5.68,8343.530880850605,7199.3,7045.084617344605,7568.490234
155,0.9072007383880858,1,1,1,5.257389068631956,5.45,8324.847508644552,7210.2,7047.56127826413,7611.490234
156,0.9086620851003517,1,1,1,5.301304182027126,5.45,8361.175635449486,7262.8,7082.651650637627,7594.890137
157,0.9090436974051173,1,1,1,5.3557448596899775,5.37,8423.027766873533,7350.2,7151.773890768123,7628.149902
158,0.9104127701775802,1,1,1,5.380008850251844,5.26,8479.114503971694,7389.0,7172.611730557202,7629.120117
159,0.9115302712753286,1,1,1,5.401290878062567,5.3,8518.333079154923,7257.9,7204.071156744298,7654.72998
160,0.9117329801213173,1,1,1,5.4246656453731585,5.26,8509.688798906021,7222.0,7220.807160191952,7680.720215
161,0.9112528954683813,1,1,1,5.446945361500016,5.45,8500.351111766795,7144.6,7221.140203908953,7689.720215
162,0.9106099066741625,1,1,1,5.471417704362796,5.49,8464.536635476234,7192.0,7229.233873668886,7713.490234
163,0.9103242750423753,1,1,1,5.510917314826927,5.3,8606.31124157239,7340.5,7230.292945054578,7810.709961
164,0.9106948106734403,1,1,1,5.534822578397995,5.2,8606.751224470587,7473.4,7234.443626298391,7784.410156
165,0.9106071386450013,1,1,1,5.585364755252578,5.16,8696.771475314998,7547.3,7261.080294275813,7816.919922
166,0.912588395446781,1,1,1,5.6008089177552804,5.15,8709.161991531755,7834.6,7306.47658613703,7826.680176
167,0.9132560218764224,1,1,1,5.628316307877012,5.18,8702.144205444383,8332.0,7332.298701349448,7839.040039
168,0.9145368954136585,1,1,1,5.655110983450885,5.05,8785.968465476,7964.8,7356.468333567611,7781.459961
169,0.9146357242857595,1,1,1,5.6974366283392746,4.87,8838.310864800605,7813.9,7363.015724767211,7751.850098
170,0.9149158167810622,1,1,1,5.723025852041869,4.79,8939.879895768649,8126.0,7386.2273103870275,7724.060059
171,0.9161918628438451,1,1,1,5.731608978102312,4.96,8939.185048918975,8075.1,7406.032414826376,7845.72998
172,0.9161924238136254,1,1,1,5.7535520509307,4.88,9016.929427832105,8130.8,7406.036949422835,7794.089844
173,0.9168595198379578,1,1,1,5.784002901614603,4.93,9059.220214003763,8547.2,7453.0247153761065,7640.149902
174,0.9169555831146889,1,1,1,5.812192661127473,4.48,9127.581299296962,8662.6,7460.430622782214,7617.549805
175,0.9192727852961207,1,1,1,5.824892868206489,4.71,9178.083006334795,8659.6,7506.008249528953,7582.75
176,0.9198716931605883,1,1,1,5.847958840756275,4.53,9238.368976057827,8800.9,7512.785718722173,7586.529785
177,0.9202829972800908,1,1,1,5.874408065173152,4.65,9273.515146962423,8860.9,7521.421215141963,7324.129883
178,0.9207177801490812,1,1,1,5.898747100102807,4.66,9275.57978842259,9138.5,7534.56647449786,7401.879883
179,0.9213326150342775,1,1,1,5.914744887125974,4.63,9296.620948020345,8662.4,7571.734853650052,7503.25
180,0.9234776099442327,1,1,1,5.93101272764021,4.41,9347.909426395712,8680.7,7597.754212844401,7580.140137
181,0.9251712608870427,1,1,1,5.970533902692736,4.39,9465.299531006904,8730.7,7617.384378443291,7503.680176
182,0.9253638904177772,1,1,1,6.007117679619576,4.32,9466.452901270794,8584.7,7649.848180267488,7376.700195
183,0.9265399098050144,1,1,1,6.0282391465937915,4.17,9470.295482090927,8305.9,7669.698918490625,7451.02002
