address,choice,balance,timestamp,day,dateUtc,authorIpfsHash,relayerIpfsHash
0x7461D0E562e54c591d5cc56c32ef280a3130CeD6,1,839.95,1607959327,0,"Mon, 14 Dec 2020 15:22:07 GMT",QmTAsMQRcMNwNZ6S6wDR6LzfzJHi7Tu9c7XPghcTTVsbKM,QmRvq2WEiHqnk2aWDfzviHnsgpCqHVJ5qKutFVWck5Rdhz
0x7f01D9b227593E033bf8d6FC86e634d27aa85568,1,196.869133,1607959380,0,"Mon, 14 Dec 2020 15:23:00 GMT",QmesRyKSEmKbDFdWF7ShBcq35zbDPcypmHpbYsYtF8rA2M,QmRmdeXzggRqz4iwnFe4vCCNhKu8HBcZjocnmNe6Af5mcw
0x36b0f5c5780EC9c31c1D04AEf76A07A35d564C2B,1,4720.08,1607959477,0,"Mon, 14 Dec 2020 15:24:37 GMT",QmXgLxDk6nre7uxvNeep8EX79XAu3QykNDeK3ieSL4eVB6,QmeNe2xGnf2CCwYCQe1mb2JQ432z1c5ZGLFuwrdhYDUfLG
0x48184BEA4FFC3d4f915fAD74e18335daffA06326,1,1892.44,1607960731,0,"Mon, 14 Dec 2020 15:45:31 GMT",Qmdr1akBB9tPRveZxbSCanQiQdC5k4nG2kddjKYvSgU4qN,QmVSk6siWUhY4R2jTsyYxK5h5BNo9a1s4M6eD5bTEToftb
0x6d9ABa400a2a487a5Fb76c6d56518835553CD284,1,50001.24075,1607966960,0,"Mon, 14 Dec 2020 17:29:20 GMT",QmU8o2nNfkxd5vRrtc537QR1uxduqntqTCMUsuc6HFXST2,QmRJFiPbr3HHJuzKRYWMsEEtq9f9SuMCSVRsxm6EZezhpz
0x424a46612794dbb8000194937834250Dc723fFa5,1,3.457262051,1607967746,0,"Mon, 14 Dec 2020 17:42:26 GMT",QmQ7qJvW2PHasTZmXsPCCJrvXdqJZLBamxsiHbaDXtJHHn,QmbSA9A86WrZojYBRvVWm4rVDk8AjLBGX56VfFGmG59Pwa
0x038Db6c62d0F072616e2B8dB7D3D7cFC829f7f65,1,399.6432243,1607968168,0,"Mon, 14 Dec 2020 17:49:28 GMT",QmTsRnnqwQ826E3KKDXwBepXZVUE3TpHYrPpbg7ugJdxHn,QmQaGtADxU6FnE39gksTJjXTg3REydpUmq75GVMakXKPgn
0x8c3fab73727E370C1f319Bc7fE5E25fD9BEa991e,1,0.15375206,1607968600,0,"Mon, 14 Dec 2020 17:56:40 GMT",QmQjxHxtLQSJQx1rkx8XmDZyRVWQmySjJaSitG91KeLEQU,QmRfqCN8R1ht3NXQHuZvtEEEEgy28JXnmftK7P73iAKaFv
0x3F478216041713A4B1EcB672515cc1b039BBE790,1,1538.41,1607972509,0,"Mon, 14 Dec 2020 19:01:49 GMT",QmRiZ1LjJKUGPq28iYGNZNXGCTrUg8XN2wYZ4r54ytJ5Kc,QmeMbKWYnvDf9Yzcpz4SQxqsf1rE8ksmKQWLhYskAuQyhs
0x03118e02cE007a0F0d1C9D806c2a7D5Ae2F26995,1,12,1607972864,0,"Mon, 14 Dec 2020 19:07:44 GMT",QmWcGU4ip97zEnNmMUo9EhwjPctfv5QYn7cuadccoYU4SU,QmTDus2Wqi7HYg5ArCdoMPmqKq1vygdXKLSDEXDfb1bB2E
0xFC56b02eDCd54cB7f88134c4218caB8A530FBF44,1,2440.22,1607974152,0,"Mon, 14 Dec 2020 19:29:12 GMT",QmeyAswagxB94cmb4XtSe1pX9bS57u2Y4PBGCbWqha6wtm,QmPSihSgQnwXZ9BSVKCMRyvnwaN5RdUFPRP59Zd8i9jLMH
0x128e5625e15FdBA91d6CcB1AbDFdC62b5d152b4f,1,6.023685095,1607978255,0,"Mon, 14 Dec 2020 20:37:35 GMT",QmbBY4rq42VkpmLuGzdywiYbvg2xMwY3exfdhTS166EmEF,QmWMjHh4YeYpJN7A293HuGAWpqWPPi7Hb17zyexUZ1EtZC
0x16c5EFd522b2fDBa7342f13e4dC65681Ff674f0d,1,2374.845,1607981273,0,"Mon, 14 Dec 2020 21:27:53 GMT",QmTmQEBVH5P4r93pr5i8VNZetMdiCUPBEipciWrx3hk3wT,QmQiWdF4FFN9B7MZEG1pBudZFj77uartUAka1DrETeAVmc
0x95318E316F3e02fe0dd9d01D3f3e094D0a16B738,1,2.684805695,1607984488,0,"Mon, 14 Dec 2020 22:21:28 GMT",QmdwHrRfkdrPQPKT1NQ4qf7f7zMfVpQXsE3awAUDrqrJ9K,QmV5tHj5jeRgVWGr58R6fZFMTUmjpdGL447G9vKD8mnZMN
0x4F50d47D20380172746527bbeAa274940C38EFAC,1,0.17836024,1607985655,0,"Mon, 14 Dec 2020 22:40:55 GMT",QmWLMNyddci8snyu8RdUggbFGocHhniT6PT1fPPzhrETV1,QmXhSkfh6Z2NMAEL3qGnneHmFWBZyQ8fUarXTxxyjp9qFi
0x0F497f082539a8D92EA1c0573456fbcd9f2e4B33,1,0.270138138,1607988351,0,"Mon, 14 Dec 2020 23:25:51 GMT",QmUpqspYUppYtjgWYN7UCEdkEX6G1n9gqvpGmvAALMMvmX,QmR7YBsBUdXjXMT31n9pdwU61rd73mRyRu3zmyvUXfWw1C
0xc3124fbA190b0A88C10ef1c8406D8b0BD64074cB,1,1000,1607991138,1,"Tue, 15 Dec 2020 00:12:18 GMT",QmRaJ3j2eeHpRPb8z4QwvKNFrqzVMQaLiVkETjD4gg1HXK,Qmbg35uZ4fQqauB7zgRBJpduJqLisqn4RqqLVWcvkyx6nt
0x15fEe449bD712B7b4a751Af84840A678D2E2a1FE,1,638.4155047,1608025806,1,"Tue, 15 Dec 2020 09:50:06 GMT",QmW5cvnEVuS8ssTiWLcRsGVdjStFqoY3i6roeZ7rGEZp2v,QmdKJVR9cwC2w53mLNc54Dmx5mqHH6M1oTdV4BMD1tZJyJ
0x9F87C1aCaF3Afc6a5557c58284D9F8609470b571,1,5.814710104,1608029789,1,"Tue, 15 Dec 2020 10:56:29 GMT",QmZvJV4NMWr8K51XfxWPsaUi9PfV3TgCVKU91hKSbfzDH9,QmaBuUvageC8o1MjqjLwFr3abd4KwQdYoJZFAfhqbkXw65
0x449E8424e765a04b6b10E10C13EF941A9bF0D48A,1,6.468023326,1608029942,1,"Tue, 15 Dec 2020 10:59:02 GMT",QmNQzuDxpsGxSyDNECSJaL6Xbxfua8XHE7Dj9XAT1Ei13B,QmNoKcVTU5bc7GT3njiqjAMyzJTeWHxwYwd1HsoWtCoQwJ
0x9381741a8aDa2B21CCAcC5a920A65e8C35d0fA94,1,374.84,1608030117,1,"Tue, 15 Dec 2020 11:01:57 GMT",QmcrhLhaQcq53jriiUMzaDAXbpHWdHRX656AZEQeTYVA3P,QmNw5tm1vFMpXz7TZav9EhdF39x1Fn7L5mzbXRx5mrczxS
0x21639A426a07498C4e7157BA909f92dA2D57cE87,1,310.9693885,1608035265,1,"Tue, 15 Dec 2020 12:27:45 GMT",Qmaaj4hdCy4D1cHC55FCgxjKWKKPq6YSHfF6Pgpe4sr4w7,Qmc5CRoSjLhbrTMdDuak3dtfeo4gHem7qoz5p7RaySLCCF
0x420f8e67196E20695B98a9728cb2a29416e9C687,1,557.27,1608038150,1,"Tue, 15 Dec 2020 13:15:50 GMT",Qmdt3gxNZ59AsWkjoukFuqrQqDnvqp2o8Bh6swxeB57hKB,QmZoZv3U38TitwXGd3F7yLGBY3STB3LitPNoUQUGbxEJJ9
0x808A023B72260170c95d831F589A1ae0DCa1e43E,1,120.9671235,1608066117,1,"Tue, 15 Dec 2020 21:01:57 GMT",QmaWQ4Yk9zU9oNi5foDeTL24HFMqeAv6enTUVj5cfSSNBt,QmS9t3mbxboSv5Hpr7taibSfB7TJhv2joNVnDsWNVeo8ho
0xb2a33ae0E07fD2ca8DBdE9545F6ce0b3234dc4e8,1,19562,1608087344,2,"Wed, 16 Dec 2020 02:55:44 GMT",QmSbPdtFcbUG2wsUdoVyV4vRpeQVuiStoQ9ZP6nzGWVM5p,QmeA7wzpLvdv8BeDLyy3RYqofUDgaT55wzGUrW68aiS92H
0x9d78Eaa53Cf87Ee531518dAAeaACa88209828791,1,25000,1608112584,2,"Wed, 16 Dec 2020 09:56:24 GMT",QmcD1GsbLUvEWDKTfJHBC3iP4m6ekT8fYe8H9F3itQD2qd,QmZXKyuh8kY87AAA1tVZfbYXKJ2XeFura4miXPuDoQgvP9
0xc1F8ef5171660F529A3991828926B16999B74A03,1,22.85610373,1608119691,2,"Wed, 16 Dec 2020 11:54:51 GMT",QmXKbzDDY56eraiHJacCGpTY5PAt7mL8d3c1zXVyUKUAr5,Qme6KBYudTwLXgDSmn3nQM5agmPCSFUH6GUsucir1exfhZ
0x08f8C46f9f71E301bA41f59C253c412F1A129daD,1,2832.509047,1608121447,2,"Wed, 16 Dec 2020 12:24:07 GMT",QmW4dvK73bQ3fdr6B2gkkMZK8rv6yVXwxDV8NDJGppiFH8,QmZVBA9XNPqcYj2oTPLYFaHejxKH4e1mBijLaxyRaFr5Ag
0x1A31C94f97C649bC2a8aDbCeb54D1f4a075be4b1,1,251.9456278,1608121485,2,"Wed, 16 Dec 2020 12:24:45 GMT",QmWzjQpHEzgQMLQnvqvxrFyctDmMhSteY645uBCCiqWJPR,QmbGf6XoQtSC3NFQS5GDg74T7Wp7LMu6ZuEeCymfSWRXdN
0xdF0259238271427C469ABC18A2CB3047d5c12466,1,41.73367474,1608129338,2,"Wed, 16 Dec 2020 14:35:38 GMT",QmXGr3hAs511nmBPocMBDo1PdeyqmzNxQyq4AQBgn5qHeM,QmckPBQXHRZnaKKcoXfpHfetX41DpEGztPmKTTN94HFf3c
