Date,Open,High,Low,Close,Adj Close,Volume
2021/7/21,14723.66992,14843.16992,14710.11035,14842.62988,14842.62988,4075150000
2021/7/20,14601.33984,14790.59961,14530.78027,14728.20996,14728.20996,4618980000
2021/7/19,14517.95996,14578.95996,14455.07031,14549.08984,14549.08984,4507040000
2021/7/16,14842.08008,14875.96973,14667.09961,14681.37988,14681.37988,4048940000
2021/7/15,14903.49023,14907.50977,14717.54981,14794.69043,14794.69043,4493540000
2021/7/14,14984.86035,15001.12988,14871.73047,14900.44043,14900.44043,4461730000
2021/7/13,14871.04004,15002.28027,14843.79981,14874.54004,14874.54004,4553380000
2021/7/12,14878.70996,14899.45996,14813.79004,14877.88965,14877.88965,3864500000
2021/7/9,14709.32031,14838.71973,14685.54004,14826.08984,14826.08984,3809040000
2021/7/8,14577.66992,14763.66992,14551.75977,14722.13965,14722.13965,4550600000
2021/7/7,14889.75977,14891.19043,14735.75,14810.54004,14810.54004,4582030000
2021/7/6,14755.15039,14797.4502,14635.30957,14786.36035,14786.36035,4464780000
2021/7/2,14633.50977,14738.13965,14626.82031,14727.62988,14727.62988,3731730000
2021/7/1,14530.62988,14576.63965,14483.41992,14560.04981,14560.04981,4371620000
2021/6/30,14560.07031,14582.29981,14530.87012,14554.79981,14554.79981,5264790000
2021/6/29,14523.62988,14575.19043,14481.84961,14572.75,14572.75,4842860000
2021/6/28,14401.62988,14530.07031,14400.58984,14524.98047,14524.98047,4235620000
2021/6/25,14396.62988,14401.70996,14324.25977,14345.17969,14345.17969,7436800000
2021/6/24,14358.29981,14429.13965,14337.65039,14365.95996,14365.95996,4297280000
2021/6/23,14275.08984,14324.74023,14247.58008,14274.24023,14274.24023,4394600000
2021/6/22,14140.29981,14288.49023,14128.00977,14270.41992,14270.41992,4405260000
2021/6/21,14055.04004,14150.91016,13967.88965,14137.23047,14137.23047,4523120000
2021/6/18,14125.12012,14140.62012,14024.59961,14049.58008,14049.58008,6105960000
2021/6/17,13946.7002,14205.42969,13946.51953,14163.80957,14163.80957,4526780000
2021/6/16,14053.12012,14100.11035,13843.59961,13983.00977,13983.00977,4632480000
2021/6/15,14120.80957,14126.25977,14008.92969,14030.41016,14030.41016,4517770000
2021/6/14,14002.13965,14129.33008,13963.94043,14128.2002,14128.2002,4394380000
2021/6/11,13959.46973,13998.65039,13934,13998.29981,13998.29981,4140190000
2021/6/10,13834.25977,13962.98047,13817.83008,13960.34961,13960.34961,4889500000
2021/6/9,13865.50977,13900.70996,13811.04981,13814.94043,13814.94043,5607720000
2021/6/8,13873.45996,13913.40039,13746.41992,13810.86035,13810.86035,5894140000
2021/6/7,13744.15039,13808.41992,13710.11035,13802.88965,13802.88965,4602940000
2021/6/4,13619.79004,13784.76953,13613.58008,13770.76953,13770.76953,4341800000
2021/6/3,13568.91016,13608.54004,13469.84961,13529.67969,13529.67969,5367460000
2021/6/2,13655.70996,13712.67969,13610.16016,13675.79004,13675.79004,5059810000
2021/6/1,13764.26953,13773.4502,13602.12012,13654.58984,13654.58984,4155670000
2021/5/28,13717,13765.79981,13684.83008,13686.50977,13686.50977,4435220000
2021/5/27,13686.86035,13724.75977,13652.12988,13657.84961,13657.84961,5057550000
2021/5/26,13687.70996,13726.05957,13661.05957,13702.74023,13702.74023,4231140000
2021/5/25,13701.29981,13734.41016,13614.54004,13657.73047,13657.73047,4084480000
2021/5/24,13504.38965,13687.61035,13500.12012,13641.75,13641.75,3490650000
2021/5/21,13573.21973,13573.83984,13401.53027,13411.74023,13411.74023,3704590000
2021/5/20,13294.58984,13526.00977,13293.09961,13494.08984,13494.08984,3972730000
2021/5/19,12998.53027,13243.98047,12994.34961,13237.91016,13237.91016,4314980000
2021/5/18,13352.25977,13400.51953,13212.84961,13217.67969,13217.67969,4283680000
2021/5/17,13329.86035,13350.13965,13196.57031,13312.91016,13312.91016,3980630000
2021/5/14,13238.99023,13430,13220.19043,13393.12012,13393.12012,4008110000
2021/5/13,13133.73047,13226.63965,13006.76953,13109.15039,13109.15039,4681530000
2021/5/12,13155.07031,13236.88965,12967.17969,13001.62988,13001.62988,4730740000
2021/5/11,13102.63965,13381.66016,13094.75977,13351.26953,13351.26953,4719720000
2021/5/10,13647.73047,13648.49023,13358.62012,13359.08008,13359.08008,4795690000
2021/5/7,13715.55957,13814.65039,13669.78027,13719.62988,13719.62988,4376800000
