address,choice,balance,timestamp,day,dateUtc,authorIpfsHash,relayerIpfsHash,,ÈÕÆÚ
0x3FBB1742C5364239164b8bEF4c386F38ceBa80D3,1,17.34282,1606220073,1,"Tue, 24 Nov 2020 12:14:33 GMT",Qmdicy6354BM3oszqN6CC1MDw2uvLJRzrUEUnq3pM5jqZt,QmSV3SbPP6C8s2rmR65omjYJxizMYrruAoGtPXzdNAuaTo,,"Tue, 24 Nov 20"
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,1,15.42421883,1606221670,1,"Tue, 24 Nov 2020 12:41:10 GMT",QmVMKPxWhBwnu8WS412TGJk7ZBqW3ZMHy2ojHymiEyeQ1y,QmSMQqaCcFuqzhBSbJgT7EP8Hw6MVwnmJfMjQqfsbxbXob,,"Tue, 24 Nov 20"
0x88f1706c20d94A4d1551C5F799C9E3380A24C3AC,1,201.7255117,1606221977,1,"Tue, 24 Nov 2020 12:46:17 GMT",QmUK7weRGQxJuXnzHdVVNV3LzTJmcMdnAwXtozW51mmCyd,QmRcW92PEwTUfUYteXzgiVVFrVoGanDX9gpQP31CahXBwa,,"Tue, 24 Nov 20"
0x7B7254d6be53c1aE75e3F816E3c159BE7fADAF7C,1,63.70586834,1606223512,1,"Tue, 24 Nov 2020 13:11:52 GMT",QmNmpyFzQxxb5BBq63wEugmK7v7eNRf9MM1w9ZNJXsyr1M,QmT7itt7C4YBqLNNTiQrVy83Zb9d9z5XFdMUUMbMywnX57,,"Tue, 24 Nov 20"
0x3F478216041713A4B1EcB672515cc1b039BBE790,1,1555.442993,1606223913,1,"Tue, 24 Nov 2020 13:18:33 GMT",QmQzkjSWoFBz8RRxv8AjPnNXHGRRJvVqVkLWBg9cSaT3uh,QmNY1fzpMLE3m8eFNBcaxMt3NzTyzbSYkFBVfNQqXNo9Qk,,"Tue, 24 Nov 20"
0x77234D179222A005778d53E9Dcf4990dbD1377d9,1,542.5,1606228731,1,"Tue, 24 Nov 2020 14:38:51 GMT",QmTiA1nRAcBuzkLzBMbnZup9BrpvHAE3Cvph25tzuhsJZ2,QmYQxv7kcg3SsJFdFPW97Da2c6T3GnBU4herhn1UuVPHqn,,"Tue, 24 Nov 20"
0x0ABa55c93cF7292f71067B0Ba0D8b464592895cA,1,3.421375621,1606229026,1,"Tue, 24 Nov 2020 14:43:46 GMT",Qme562VCpDuchR79yjvvTPByrTtTGhMo4YucLBsXpE8Zy2,QmfWXHA91EY5ng1rZs1y2ToDQfhAmq2G7npYK5hztui3j1,,"Tue, 24 Nov 20"
0x9bF03137e09956b1510f0feaa955AeD1D18eD5CB,1,84.54286591,1606229096,1,"Tue, 24 Nov 2020 14:44:56 GMT",QmcoGD5QMg8u2XsvyP23GXiuYXnKXduJFpojTp5iugC3W4,QmRdYy67vVBoVCkvNHsoNCMguPeFKetUHV2HaKAxgRnLSS,,"Tue, 24 Nov 20"
0x9F87C1aCaF3Afc6a5557c58284D9F8609470b571,1,5.814710104,1606230721,1,"Tue, 24 Nov 2020 15:12:01 GMT",QmPrHwWfSLYABaN53fkwNNyDT9RFBw8CbNRFRdXA5puvt1,QmdgDhr3zsvipr5eDLEtdSaczqdsVZxEQpXuNhbcQtfVYv,,"Tue, 24 Nov 20"
0x48acEaF27C7AC4f0D83a536cBc4333a8CB621Bca,1,50,1606230756,1,"Tue, 24 Nov 2020 15:12:36 GMT",QmYWWPunKb4fnZcz3U1V7xDcgjxcaJDY5gVahgS7NdbSCm,QmVtPxMKVkKZP4wT7MdM3fEGMkVRibdduXhvakBbfQSAkR,,"Tue, 24 Nov 20"
